Source,Title,Price,Rating,Link
Amazon,Majestic Man,499.0,4.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODU1ODk2NzA4MTEzNTQ1OjE3NTc3OTQ4MTQ6c3BfYXRmOjMwMDYwODk5MDI3ODgzMjo6MDo6&url=%2FMajestic-Man-Classic-Cotton-Casual%2Fdp%2FB0CK6KJNZG%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c%26dib_tag%3Dse%26keywords%3DShirts%26qid%3D1757794814%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Mfk6LEVyNS&sp_cr=ZAZ
Amazon,Martin,849.0,3.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODU1ODk2NzA4MTEzNTQ1OjE3NTc3OTQ4MTQ6c3BfYXRmOjMwMDY5ODEzODM1NDMzMjo6MDo6&url=%2FMARTIN-PACEMAKER-Regular-Sleeves-Size-XXXl%2Fdp%2FB0C5JP33FS%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c%26dib_tag%3Dse%26keywords%3DShirts%26qid%3D1757794814%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=nbWhyzzExw&sp_cr=ZAZ
Amazon,Lymio,449.0,3.6,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODU1ODk2NzA4MTEzNTQ1OjE3NTc3OTQ4MTQ6c3BfYXRmOjMwMDQ4MzQ1ODU3NzYzMjo6MDo6&url=%2FLymio-Casual-Stylish-Rib-Shirt-Khakhi%2Fdp%2FB0CRPG3MHV%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c%26dib_tag%3Dse%26keywords%3DShirts%26qid%3D1757794814%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=H9tm6KjM4M&sp_cr=ZAZ
Amazon,Majestic Man,499.0,3.8,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODU1ODk2NzA4MTEzNTQ1OjE3NTc3OTQ4MTQ6c3BfYXRmOjMwMDYwODk5MDI4MDMzMjo6MDo6&url=%2FMajestic-Man-Solid-Casual-Medium%2Fdp%2FB09WMK89PQ%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c%26dib_tag%3Dse%26keywords%3DShirts%26qid%3D1757794814%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=XPz0ECxL1S&sp_cr=ZAZ
Amazon,DEELMO,494.0,3.2,https://www.amazon.in/DEELMO-Geometric-Regular-MON321_CHIKU_Down-Round_Print_40_Beige/dp/B0CNM4R13B/ref=sr_1_5?dib=eyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c&dib_tag=se&keywords=Shirts&qid=1757794814&sr=8-5
Amazon,CB-COLEBROOK,499.0,3.8,https://www.amazon.in/CB-COLEBROOK-Casual-Button-Fashion-Textured/dp/B0D77N88Q3/ref=sr_1_6?dib=eyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c&dib_tag=se&keywords=Shirts&qid=1757794814&sr=8-6
Amazon,Lymio,349.0,3.8,https://www.amazon.in/Lymio-Clothing-Regular-Printed-Tiedite-Cream-Blue-L/dp/B0DWSB8HT4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c&dib_tag=se&keywords=Shirts&qid=1757794814&sr=8-7
Amazon,U TURN,418.0,3.8,https://www.amazon.in/U-TURN-Printed-Striped-Stylish-Skyblue-White/dp/B0DKP8NXCH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c&dib_tag=se&keywords=Shirts&qid=1757794814&sr=8-8
Amazon,Pinkmint,399.0,3.7,https://www.amazon.in/Pinkmint-Sleeve-Button-Collared-Casual/dp/B0CW1TZ4X3/ref=sr_1_9?dib=eyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c&dib_tag=se&keywords=Shirts&qid=1757794814&sr=8-9
Amazon,CB-COLEBROOK,495.0,3.7,https://www.amazon.in/CB-COLEBROOK-Regular-Spread-Collar-Casual/dp/B0CGLMT89Z/ref=sr_1_10?dib=eyJ2IjoiMSJ9.JxxYY5RXLs_wEyHBVg42l9aDS1EkmBXISK6_RY1N1s7zQdSp_fvsBV8UPZ1E2b9Pvc029HmyT4qPI_ReeBP5ZceC7Ke381cOrVCo81qRUwFzxcRnDcEyQz9Sa4pqq78YzZf-842ymfKFQuIzNJ2jcAroD2FYko0ZxPsCWPrCQH3S3ad6D4_SR5uxUAaJFuX6pfc6sSnynnBE1Sk6TBnKp64SkN-r1cj606YA8_LOQSASUaGvtCuWtc_LO-8stv6tZ5NOfh5g6IILyRqkvIzxwjUmI8yd2CAuAI0btBXGwjU.WTvl0FDHxIbHrliDHUygwOFxDSJHWS53st6H68orl4c&dib_tag=se&keywords=Shirts&qid=1757794814&sr=8-10
